id,Matram,Kyhieu,longitude,latitude,Z.Elev,ds,WQI_I,WQI_II,WQI_III,WQI_IV,WQI_V,y,WQI_Desc,WQI_Color,WQI_Weight,WQI_no_V,pH,Aldrin,BHC,Dieldrin,DDTs,Heptachlor,Heptachlorepoxide,As,Cd,Pb,Cr6,Cu,Zn,Hg,DO,T,BOD5,COD,TOC,N_NH4,N_NO3,N_NO2,P_PO4,Coliform,Ecoli,Salinity,TSS,CL
"382",QLPH032020,QL3,105.45,9.24,0.46,2020/05/25,100,100,73.24,67.8,55,50,Xấu,"RGB(255,126,0)",46,45,7.61,0.02,0.011,0.008,0.009,0.032,0.012,0.019,0.007,0.002,0.008,0.004,0,0.002,6.223,"25",9.045,23.224,16.537,0.234,0.248,0.21,0.175,4200,"0",35.4,5.12,2562
"383",QLPH032020,QL3,105.45,9.24,0.46,2020/06/09,100,100,83.72,55.81,55,47,Xấu,"RGB(255,126,0)",46,46,7.38,0.022,0.013,0.01,0.011,0.032,0.013,0.019,0.007,0.001,0.016,0.001,0,0.001,6.21,"25",9.765,25.136,17.121,0.385,0.123,0.41,0.638,500,"0",31.2,0,36513.5
"384",QLPH032020,QL3,105.45,9.24,0.46,2020/06/23,100,100,92.54,57.68,55,53,Trung bình,"RGB(255,255,0)",53,52,7.27,0.02,0.011,0.011,0.01,0.03,0.012,0.019,0,0.007,0.009,0.005,0,0.001,6.28,"25",5,14.709,13.939,0.825,0.725,0.225,0.538,4800,"0",21.2,5.77,26587.5
"385",QLPH042020,QL4,105.4,9.24,0.56,2020/02/11,100,100,87.41,62.54,55,55,Trung bình,"RGB(255,255,0)",52,51,7.41,0.022,0.013,0.011,0.012,0.031,0.013,0.018,0.006,0.003,0.011,0.006,0,0.001,5.978,"25",8.28,20.863,15.426,0.181,0.271,0.285,0.425,6400,"0",25.4,64.73,16448.8
"386",QLPH042020,QL4,105.4,9.24,0.56,2020/02/25,100,100,75.92,63.22,55,48,Xấu,"RGB(255,126,0)",46,45,7.75,0.018,0.008,0.006,0.005,0.034,0.011,0.019,0.005,0.005,0.005,0.001,0,0.002,6.378,"25",7.73,17.465,14.954,0.13,0.5,0.129,0.8,700,"0",28.1,0,2348
"387",QLPH042020,QL4,105.4,9.24,0.56,2020/03/14,100,100,72.24,53.18,55,38,Xấu,"RGB(255,126,0)",39,39,7.73,0.028,0.02,0.017,0.019,0.031,0.017,0.016,0.006,0.004,0.022,0.007,0,0.002,5.332,"25",8.926,24.11,15.481,0.6,0.39,0.55,0.563,6800,"0",29.9,59.4,2915.5
"388",QLPH042020,QL4,105.4,9.24,0.56,2020/03/26,100,100,82.18,58.95,55,48,Xấu,"RGB(255,126,0)",47,47,7.45,0.018,0.011,0.007,0.008,0.029,0.011,0.014,0.009,0.002,0.007,0.004,0,0.001,4.744,"25",11.129,25.087,14.908,0.244,0.158,0.168,0.425,4100,"0",32.7,46.1,18878.5
"389",QLPH042020,QL4,105.4,9.24,0.56,2020/05/02,100,68.13,61.62,48.6,55,20,Kém,"RGB(255,0,0)",21,22,7.48,0.078,0.071,0.068,0.084,0.028,0.047,0.014,0.008,0.002,0.13,0.002,0,0.001,4.608,"25",10.7,22.156,13.778,2.52,0.17,3.25,0.51,2400,"0",33.4,6.85,2548
"390",QLPH042020,QL4,105.4,9.24,0.56,2020/05/11,100,100,79.46,60.84,55,48,Xấu,"RGB(255,126,0)",47,46,7.7,0.016,0.007,0.007,0.007,0.026,0.009,0.018,0.002,0.003,0.005,0.004,0,0.002,6.063,"25",4,9.351,11.924,2.475,0.288,0.113,0.55,4400,"0",3.9,7.46,18256.75
"391",QLPH042020,QL4,105.4,9.24,0.56,2020/05/25,100,100,74.3,65,55,48,Xấu,"RGB(255,126,0)",46,44,7.69,0.019,0.009,0.007,0.007,0.034,0.012,0.02,0.006,0.003,0.005,0.005,0,0.002,6.648,"25",8.297,22.608,16.981,0.563,0.313,0.12,0.125,5200,"0",33.2,6.14,2451
"392",QLPH042020,QL4,105.4,9.24,0.56,2020/06/09,100,68.13,80.71,53.37,55,29,Xấu,"RGB(255,126,0)",30,30,7.46,0.031,0.023,0.02,0.024,0.029,0.019,0.016,0.007,0.001,0.032,0.005,0,0.001,5.345,"25",9.869,23.157,15.2,0.579,0.149,0.81,0.575,4500,"0",31.9,6.74,25.5
"393",QLPH042020,QL4,105.4,9.24,0.56,2020/06/23,100,100,92.96,61.49,55,57,Trung bình,"RGB(255,255,0)",55,54,7.34,0.014,0.005,0.006,0.006,0.024,0.009,0.018,0,0.002,0.005,0.003,0,0.001,6.08,"25",5,12.089,12.813,0.596,0.234,0.123,0.713,3300,"0",24.2,0,29423.5
"394",QLPH052020,QL5,105.29,9.19,0.39,2020/02/11,100,100,78.95,59.42,55,47,Xấu,"RGB(255,126,0)",46,45,7.61,0.022,0.016,0.014,0.012,0.032,0.013,0.014,0.004,0.01,0.016,0.002,0,0.002,4.55,"25",6.7,19.079,12.722,0.398,0.95,0.395,0.338,1700,"0",25.4,283.2,2127
"395",QLPH052020,QL5,105.29,9.19,0.39,2020/02/25,100,68.13,81.31,52.57,55,29,Xấu,"RGB(255,126,0)",30,30,7.32,0.031,0.022,0.02,0.022,0.033,0.019,0.018,0.006,0.005,0.033,0.001,0,0.001,5.835,"25",8.61,22.182,15.628,7.8,0.46,0.816,0.3,1400,"0",29,59.3,25524
"396",QLPH052020,QL5,105.29,9.19,0.39,2020/03/14,100,100,72.33,58.71,55,42,Xấu,"RGB(255,126,0)",42,41,7.78,0.019,0.011,0.007,0.008,0.03,0.011,0.016,0.008,0.002,0.011,0,0,0.002,5.344,"25",10.738,24.52,15.629,0.124,0.175,0.27,0.513,400,"0",3.9,86.24,1737.5
"397",QLPH052020,QL5,105.29,9.19,0.39,2020/03/26,100,68.13,69.93,55.44,55,26,Xấu,"RGB(255,126,0)",26,26,7.87,0.033,0.027,0.025,0.025,0.031,0.02,0.011,0.007,0.009,0.034,0.005,0,0.002,3.815,"25",9.025,18.453,11.422,0.411,0.863,0.85,0.563,5200,"0",34.3,68.21,18841.5
"398",QLPH052020,QL5,105.29,9.19,0.39,2020/05/02,100,100,77.24,53.45,55,41,Xấu,"RGB(255,126,0)",42,42,7.73,0.017,0.01,0.008,0.008,0.027,0.01,0.015,0.005,0.004,0.006,0.005,0,0.002,4.858,"25",7.7,22.475,14.254,0.6,0.35,0.15,0.9,5200,"0",25.4,186,1879.5
"399",QLPH052020,QL5,105.29,9.19,0.39,2020/05/11,100,100,62.85,56.86,55,36,Xấu,"RGB(255,126,0)",35,35,7.64,0.028,0.019,0.015,0.016,0.038,0.017,0.019,0.01,0.004,0.018,0.006,0,0.002,6.343,"25",12.2,29.869,18.814,1.796,0.35,0.45,0.121,6200,"0",34,14,22156.25
"400",QLPH052020,QL5,105.29,9.19,0.39,2020/05/25,100,100,73.08,59.71,55,44,Xấu,"RGB(255,126,0)",42,42,7.71,0.022,0.013,0.01,0.012,0.031,0.013,0.017,0.007,0.002,0.013,0.005,0,0.002,5.625,"25",9.976,21.277,15.027,0.355,0.184,0.32,0.3,4800,"0",34.6,4.71,2635
"401",QLPH052020,QL5,105.29,9.19,0.39,2020/06/09,100,100,72.18,54.64,55,39,Xấu,"RGB(255,126,0)",40,40,7.57,0.023,0.015,0.012,0.015,0.028,0.014,0.015,0.007,0.001,0.018,0.004,0,0.002,5.125,"25",9.966,27.032,16.092,0.313,0.113,0.46,0.663,3800,"0",28.1,11.26,2155.5
"402",QLPH052020,QL5,105.29,9.19,0.39,2020/06/23,100,100,89.4,67.25,55,60,Trung bình,"RGB(255,255,0)",56,54,7.43,0.022,0.014,0.015,0.016,0.025,0.013,0.017,0,0.004,0.021,0.003,0,0.001,5.585,"25",5,11.933,12.022,0.163,0.435,0.53,0.838,2500,"0",24.1,0,32259.5
"403",QLPH062020,QL6,105.17,9.19,0.38,2020/02/11,100,100,69.48,69.14,55,48,Xấu,"RGB(255,126,0)",45,43,7.51,0.028,0.019,0.017,0.02,0.029,0.017,0.017,0.007,0.001,0.028,0.002,0,0.002,5.785,"25",9,20.522,15.029,0.161,0.143,0.698,0.14,2400,"0",27.3,42.27,22262.6
"404",QLPH062020,QL6,105.17,9.19,0.38,2020/02/25,100,68.13,82.49,59.17,55,33,Xấu,"RGB(255,126,0)",32,32,7.4,0.03,0.022,0.019,0.021,0.033,0.018,0.018,0.006,0.005,0.028,0.005,0,0.001,5.975,"25",8.1,19.553,15.009,1.93,0.51,0.693,0.17,4600,"0",29.1,68.4,2915
"405",QLPH062020,QL6,105.17,9.19,0.38,2020/03/14,100,100,71.76,53.07,55,38,Xấu,"RGB(255,126,0)",39,39,7.84,0.021,0.013,0.01,0.011,0.03,0.013,0.017,0.008,0.001,0.012,0.005,0,0.002,5.507,"25",10.19,24.747,15.945,1.188,0.12,0.29,0.286,5200,"0",31.6,56.39,23751.5
"406",QLPH062020,QL6,105.17,9.19,0.38,2020/03/26,100,68.13,58.36,52.85,55,21,Kém,"RGB(255,0,0)",21,21,7.91,0.047,0.04,0.037,0.043,0.032,0.028,0.014,0.008,0.005,0.065,0.002,0,0.002,4.785,"25",10.886,28.378,16.006,1.329,0.463,1.63,0.223,2200,"0",34,81.21,185.5
"407",QLPH062020,QL6,105.17,9.19,0.38,2020/05/02,100,68.13,77.24,64.92,55,34,Xấu,"RGB(255,126,0)",32,31,7.32,0.04,0.032,0.032,0.038,0.023,0.024,0.015,0.002,0.003,0.05,0.01,0,0.001,4.943,"25",4.2,11.32,10.865,1.175,0.335,1.26,0.21,9500,"0",24.6,98.73,2915.5
"408",QLPH062020,QL6,105.17,9.19,0.38,2020/05/11,100,68.13,74,40.08,55,20,Kém,"RGB(255,0,0)",22,24,7.38,0.03,0.026,0.018,0.021,0.032,0.018,0.009,0.016,0.003,0.026,0.007,0,0.001,3.027,"25",18.4,54.936,21.742,3.75,0.263,0.638,0.268,7200,"0",3.6,8.1,2383.75
"409",QLPH062020,QL6,105.17,9.19,0.38,2020/05/25,100,68.13,77.46,53.91,55,28,Xấu,"RGB(255,126,0)",29,29,6.93,0.035,0.027,0.024,0.029,0.03,0.021,0.016,0.008,0.002,0.038,0.006,0,0.001,5.295,"25",10.667,27.804,16.59,1.425,0.188,0.95,0.213,6400,"0",32.5,18.94,2354
"410",QLPH062020,QL6,105.17,9.19,0.38,2020/06/09,100,68.13,62.48,44.3,55,19,Kém,"RGB(255,0,0)",20,21,7.34,0.045,0.037,0.031,0.038,0.036,0.027,0.016,0.013,0.001,0.054,0.005,0,0.001,5.48,"25",15.488,36.39,19.575,1.265,0.138,1.36,0.659,5200,"0",28.4,2.12,264
"411",QLPH062020,QL6,105.17,9.19,0.38,2020/06/23,100,100,92.11,58.49,55,54,Trung bình,"RGB(255,255,0)",53,52,7.24,0.017,0.007,0.008,0.009,0.026,0.01,0.02,0,0.003,0.008,0.004,0,0.001,6.52,"25",5,12.854,13.714,1.616,0.25,0.2,0.591,4400,"0",23.2,6.22,3132.5
"412",QLPH072020,QL7,105.48,9.37,0.39,2020/02/11,100,100,84.26,58.81,55,50,Xấu,"RGB(255,126,0)",48,48,7.33,0.028,0.02,0.019,0.022,0.026,0.017,0.015,0.005,0.002,0.031,0.003,0,0.001,5.148,"25",7.45,19.019,13.599,0.36,0.188,0.785,0.425,2600,"0",25.1,5.16,17583.2
"413",QLPH072020,QL7,105.48,9.37,0.39,2020/02/25,100,68.13,72.23,55,55,27,Xấu,"RGB(255,126,0)",27,27,7.59,0.029,0.021,0.019,0.022,0.027,0.017,0.015,0.005,0.003,0.03,0.004,0,0.002,5.115,"25",7.86,22.804,14.744,0.48,0.25,0.751,0.53,3900,"0",27.6,94.25,23184
"414",QLPH072020,QL7,105.48,9.37,0.39,2020/03/14,100,68.13,67.62,54.51,55,25,Kém,"RGB(255,0,0)",25,25,7.72,0.034,0.026,0.023,0.027,0.032,0.021,0.017,0.007,0.004,0.037,0.004,0,0.002,5.625,"25",9.632,23.591,15.756,0.484,0.375,0.92,0.763,4400,"0",29.3,7.25,19497.5
"415",QLPH072020,QL7,105.48,9.37,0.39,2020/03/26,100,68.13,56.02,49.98,55,19,Kém,"RGB(255,0,0)",20,20,7.69,0.047,0.04,0.036,0.043,0.03,0.028,0.015,0.009,0.002,0.063,0.005,0,0.002,4.884,"25",11.358,24.553,14.949,0.763,0.218,1.58,0.65,4800,"0",32.4,63.14,3132.5
"416",QLPH072020,QL7,105.48,9.37,0.39,2020/05/02,100,68.13,68.92,48.16,55,23,Kém,"RGB(255,0,0)",24,24,7.16,0.045,0.037,0.034,0.036,0.039,0.027,0.015,0.009,0.009,0.048,0.008,0,0.001,5.165,"25",11.3,31.734,17.634,0.754,0.938,1.2,0.87,8400,"0",33.1,62.4,13293.75
"417",QLPH072020,QL7,105.48,9.37,0.39,2020/05/11,100,68.13,80.55,59.62,55,33,Xấu,"RGB(255,126,0)",32,31,7.43,0.034,0.025,0.023,0.027,0.03,0.02,0.018,0.006,0.002,0.036,0.006,0,0.001,5.849,"25",8.4,20.375,15.079,1.238,0.2,0.9,0.15,6400,"0",34.6,8.96,22865.25
"418",QLPH072020,QL7,105.48,9.37,0.39,2020/05/25,100,68.13,76.47,58.1,55,30,Xấu,"RGB(255,126,0)",30,29,7.4,0.033,0.023,0.019,0.02,0.041,0.02,0.02,0.009,0.006,0.022,0.008,0,0.001,6.733,"25",11.496,23.434,17.369,0.664,0.638,0.56,0.275,7600,"0",36.9,9.37,2132
"419",QLPH072020,QL7,105.48,9.37,0.39,2020/06/09,100,68.13,70.46,50.63,55,24,Kém,"RGB(255,0,0)",25,25,7.44,0.037,0.028,0.024,0.025,0.041,0.022,0.018,0.01,0.008,0.034,0.005,0,0.001,5.91,"25",12.229,27.818,17.517,0.675,0.75,0.84,0.738,4600,"0",32,6.98,2164.5
"420",QLPH072020,QL7,105.48,9.37,0.39,2020/06/23,100,100,92.54,61.77,55,57,Trung bình,"RGB(255,255,0)",55,54,7.32,0.015,0.005,0.006,0.007,0.023,0.009,0.019,0,0.001,0.006,0.003,0,0.001,6.233,"25",5,11.48,12.85,0.634,0.11,0.15,0.838,3300,"0",26.3,6.91,3595.5
"421",QLPH082020,QL8,105.46,9.44,0.44,2020/02/11,100,100,83.37,61.75,55,51,Trung bình,"RGB(255,255,0)",50,49,7.38,0.028,0.019,0.017,0.019,0.031,0.017,0.018,0.006,0.002,0.024,0.005,0,0.001,6.083,"25",8.8,19.06,15.015,0.46,0.238,0.596,0.25,5400,"0",2.6,66,136
"422",QLPH082020,QL8,105.46,9.44,0.44,2020/02/25,100,100,89.71,61.22,55,55,Trung bình,"RGB(255,255,0)",53,52,7.36,0.022,0.015,0.013,0.012,0.032,0.013,0.015,0.005,0.006,0.012,0.005,0,0.001,5.155,"25",7.98,16.175,12.714,2.19,0.64,0.294,0.11,5400,"0",11.2,295.1,128
"423",QLPH082020,QL8,105.46,9.44,0.44,2020/03/14,100,68.13,63.69,52.03,55,23,Kém,"RGB(255,0,0)",23,23,7.67,0.039,0.031,0.028,0.033,0.03,0.023,0.016,0.006,0.003,0.048,0.004,0,0.002,5.243,"25",8.973,19.097,13.767,0.843,0.315,1.2,0.725,3900,"0",26,69.2,1737.5
"424",QLPH082020,QL8,105.46,9.44,0.44,2020/03/26,100,68.13,47.76,38.57,55,13,Kém,"RGB(255,0,0)",14,15,7.91,0.089,0.082,0.077,0.095,0.033,0.053,0.013,0.013,0.002,0.146,0.004,0,0.002,4.49,"25",15.7,51.236,22.769,3.141,0.175,3.64,0.913,4300,"0",32.1,8.56,17296.5
"425",QLPH082020,QL8,105.46,9.44,0.44,2020/05/02,100,68.13,83.3,62,55,35,Xấu,"RGB(255,126,0)",34,33,7.28,0.032,0.025,0.023,0.022,0.035,0.019,0.013,0.007,0.01,0.025,0.009,0,0.001,4.445,"25",9.1,27.602,15.251,0.398,0.988,0.62,0.12,9200,"0",21.9,91.39,15952.5
"426",QLPH082020,QL8,105.46,9.44,0.44,2020/05/11,100,100,74.64,50.56,55,38,Xấu,"RGB(255,126,0)",39,39,7.3,0.025,0.019,0.013,0.013,0.036,0.015,0.014,0.012,0.005,0.019,0.001,0,0.001,4.559,"25",14.9,37.367,18.501,2.363,0.475,0.475,0.153,1100,"0",33.2,15.3,22865.25
"427",QLPH082020,QL8,105.46,9.44,0.44,2020/05/25,100,68.13,78.37,59.91,55,32,Xấu,"RGB(255,126,0)",31,31,7.11,0.037,0.027,0.024,0.026,0.04,0.022,0.019,0.008,0.007,0.03,0.01,0,0.001,6.39,"25",10.076,21.986,16.398,0.724,0.713,0.75,0.2,9500,"0",23.8,46.54,15324
"428",QLPH082020,QL8,105.46,9.44,0.44,2020/06/09,100,68.13,72.46,45.66,55,23,Kém,"RGB(255,0,0)",24,25,7.27,0.034,0.025,0.021,0.022,0.04,0.02,0.016,0.011,0.007,0.027,0.006,0,0.001,5.395,"25",13.629,33.632,18.577,0.925,0.675,0.68,0.713,5900,"0",2.4,27.4,16513.5
"429",QLPH082020,QL8,105.46,9.44,0.44,2020/06/23,100,100,92.11,60.37,55,56,Trung bình,"RGB(255,255,0)",54,53,7.21,0.018,0.008,0.008,0.01,0.025,0.011,0.02,0,0.001,0.008,0.006,0,0.001,6.625,"25",5,10.836,13.236,1.149,0.138,0.198,0.713,6200,"0",12.4,8.1,16661.5
"430",QLPH092020,QL9,105.51,9.49,0.41,2020/02/11,100,100,90.37,67.19,55,61,Trung bình,"RGB(255,255,0)",57,55,7.03,0.021,0.013,0.012,0.012,0.029,0.013,0.015,0.005,0.005,0.008,0.009,0,0.001,5.14,"25",7.6,13.021,11.697,0.218,0.475,0.197,0.3,9200,"0",2.5,65,1497
"431",QLPH092020,QL9,105.51,9.49,0.41,2020/02/25,100,100,74.1,56.66,55,42,Xấu,"RGB(255,126,0)",42,41,7.76,0.023,0.017,0.015,0.014,0.031,0.014,0.012,0.006,0.008,0.019,0.001,0,0.002,4.16,"25",8.5,18.074,11.82,1.4,0.81,0.487,0.21,700,"0",7.44,195.14,4892
"432",QLPH092020,QL9,105.51,9.49,0.41,2020/03/14,100,100,71.97,54.88,55,39,Xấu,"RGB(255,126,0)",40,40,7.6,0.027,0.018,0.015,0.012,0.042,0.016,0.018,0.008,0.01,0.009,0.01,0,0.002,6.112,"25",10.19,25.996,17.245,0.684,0.988,0.22,0.325,9500,"0",3.66,64.88,2339.7
"433",QLPH092020,QL9,105.51,9.49,0.41,2020/03/26,100,68.13,57.59,52.03,55,20,Kém,"RGB(255,0,0)",21,21,7.63,0.047,0.038,0.034,0.042,0.033,0.028,0.019,0.008,0.001,0.061,0.005,0,0.002,6.341,"25",10.61,28.169,18.274,1.163,0.1,1.53,0.338,5200,"0",0.7,56.12,333.23
"434",QLPH092020,QL9,105.51,9.49,0.41,2020/05/02,100,100,82.77,62.07,55,51,Trung bình,"RGB(255,255,0)",49,48,7.3,0.027,0.019,0.016,0.019,0.03,0.016,0.017,0.007,0.002,0.021,0.008,0,0.001,5.545,"25",9.3,25.294,16.174,0.324,0.188,0.53,0.2,7600,"0",11.2,18.47,11698.5
"435",QLPH092020,QL9,105.51,9.49,0.41,2020/05/11,100,68.13,72.05,45.53,55,22,Kém,"RGB(255,0,0)",24,25,7.47,0.035,0.025,0.019,0.019,0.048,0.021,0.019,0.014,0.008,0.023,0.005,0,0.001,6.293,"25",16.8,35.088,20.382,2.68,0.825,0.575,0.45,5400,"0",5.54,17.3,384.15
"436",QLPH092020,QL9,105.51,9.49,0.41,2020/05/25,100,100,86.45,68.58,55,59,Trung bình,"RGB(255,255,0)",55,53,7.19,0.02,0.011,0.009,0.01,0.03,0.012,0.017,0.007,0.002,0.008,0.006,0,0.001,5.698,"25",9.388,24.37,16.111,0.283,0.15,0.2,0.113,6200,"0",7.73,17.2,415
"437",QLPH092020,QL9,105.51,9.49,0.41,2020/06/09,100,68.13,66.58,51.15,55,23,Kém,"RGB(255,0,0)",24,24,7.22,0.044,0.036,0.033,0.037,0.037,0.027,0.017,0.009,0.006,0.05,0.007,0,0.001,5.533,"25",11.17,26.171,16.431,0.833,0.638,1.25,0.4,7200,"0",1.89,22.88,932.335
"438",QLPH092020,QL9,105.51,9.49,0.41,2020/06/23,100,100,91.21,60.72,55,55,Trung bình,"RGB(255,255,0)",54,53,7.18,0.021,0.011,0.012,0.014,0.024,0.012,0.018,0,0.002,0.015,0.006,0,0.001,6.145,"25",5,10.862,12.524,0.775,0.188,0.363,0.513,6400,"0",1.57,64.3,198.95
"439",QLPH102020,QL10,105.59,9.56,0.31,2020/02/11,100,100,84.57,62.56,55,53,Trung bình,"RGB(255,255,0)",51,50,6.87,0.027,0.018,0.016,0.014,0.037,0.016,0.017,0.006,0.009,0.02,0.002,0,0.001,5.55,"25",8.44,16.785,13.499,0.373,0.875,0.493,0.263,2100,"0",1.1,38.7,46.85
"440",QLPH102020,QL10,105.59,9.56,0.31,2020/02/25,100,100,91.09,66.16,55,60,Trung bình,"RGB(255,255,0)",57,55,7.2,0.014,0.007,0.005,0.005,0.024,0.008,0.013,0.005,0.003,0.007,0,0,0.001,4.35,"25",7.45,17.216,11.834,0.28,0.25,0.173,0.24,100,"0",0.39,61.38,353
"441",QLPH102020,QL10,105.59,9.56,0.31,2020/03/14,100,100,88.49,58.48,55,52,Trung bình,"RGB(255,255,0)",51,50,7.48,0.017,0.008,0.006,0.005,0.032,0.01,0.016,0.006,0.005,0.005,0.001,0,0.001,5.417,"25",8.359,22.645,15.147,0.446,0.5,0.125,0.313,1100,"0",0.3,95.3,138.255
"442",QLPH102020,QL10,105.59,9.56,0.31,2020/03/26,100,68.13,55.28,52.83,55,20,Kém,"RGB(255,0,0)",20,20,8,0.048,0.038,0.034,0.041,0.038,0.029,0.019,0.009,0.004,0.061,0.002,0,0.002,6.433,"25",11.82,30.87,19.264,1.113,0.4,1.52,0.263,2400,"0",0.2,76.14,25.61
"443",QLPH102020,QL10,105.59,9.56,0.31,2020/05/02,100,68.13,79.08,57.53,55,31,Xấu,"RGB(255,126,0)",31,30,6.94,0.031,0.023,0.02,0.024,0.03,0.019,0.017,0.008,0.001,0.03,0.007,0,0.001,5.673,"25",10,23.03,15.651,0.471,0.138,0.75,0.33,6900,"0",0.43,29.65,116.985
"444",QLPH102020,QL10,105.59,9.56,0.31,2020/05/11,100,100,74.17,47.58,55,35,Xấu,"RGB(255,126,0)",37,38,7.46,0.026,0.018,0.014,0.015,0.035,0.016,0.016,0.01,0.004,0.019,0.004,0,0.001,5.19,"25",12.4,30.686,17.341,1.638,0.425,0.475,0.425,3600,"0",0.26,12.49,81.535
"445",QLPH102020,QL10,105.59,9.56,0.31,2020/05/25,100,68.13,75.56,52.17,55,27,Xấu,"RGB(255,126,0)",27,28,7.05,0.032,0.023,0.019,0.022,0.035,0.019,0.018,0.009,0.004,0.03,0.004,0,0.001,6.09,"25",11.011,27.32,17.63,0.856,0.35,0.74,0.338,4300,"0",0.33,8,53.884
"446",QLPH102020,QL10,105.59,9.56,0.31,2020/06/09,100,100,79.68,58.6,55,47,Xấu,"RGB(255,126,0)",46,45,7.46,0.03,0.02,0.017,0.016,0.04,0.018,0.02,0.008,0.007,0.022,0.002,0,0.001,6.5,"25",10.03,22.545,16.74,0.448,0.738,0.56,0.375,2200,"0",0.28,5.43,45.215
"447",QLPH102020,QL10,105.59,9.56,0.31,2020/06/23,100,100,88.27,52.92,55,47,Xấu,"RGB(255,126,0)",47,48,7.17,0.025,0.017,0.018,0.019,0.026,0.015,0.017,0,0.006,0.026,0.002,0,0.001,5.528,"25",12.17,29.891,17.597,0.425,0.575,0.65,0.463,2300,"0",0.31,34.18,159.525
"448",QLPH112020,QL11,105.46,9.55,0.41,2020/02/11,100,100,94.91,69.1,55,66,Trung bình,"RGB(255,255,0)",61,59,7.1,0.016,0.009,0.008,0.008,0.024,0.009,0.013,0.004,0.004,0.009,0.001,0,0.001,4.348,"25",6.72,12.938,10.482,0.211,0.35,0.23,0.225,1400,"0",0.2,49.95,319.5
"449",QLPH112020,QL11,105.46,9.55,0.41,2020/02/25,100,68.13,82.69,52.47,55,30,Xấu,"RGB(255,126,0)",30,30,7.26,0.034,0.025,0.024,0.023,0.039,0.021,0.018,0.005,0.01,0.033,0.003,0,0.001,6.03,"25",7.76,19.473,15.066,0.96,0.98,0.815,0.8,3200,"0",7.61,48.92,94
"450",QLPH112020,QL11,105.46,9.55,0.41,2020/03/14,100,100,75.85,62.66,55,48,Xấu,"RGB(255,126,0)",46,45,7.33,0.03,0.02,0.017,0.019,0.035,0.018,0.019,0.009,0.003,0.027,0.002,0,0.001,6.192,"25",11.04,25.564,17.23,0.35,0.325,0.675,0.175,1700,"0",4.7,39.6,313.25
"451",QLPH112020,QL11,105.46,9.55,0.41,2020/03/26,100,68.13,69.07,59.16,55,28,Xấu,"RGB(255,126,0)",27,27,7.44,0.046,0.037,0.034,0.037,0.041,0.028,0.018,0.008,0.009,0.05,0.008,0,0.001,5.924,"25",10.979,20.916,15.362,0.913,0.85,1.26,0.138,7600,"0",4.3,68.47,2446.5
"452",QLPH112020,QL11,105.46,9.55,0.41,2020/05/02,100,68.13,79.28,70.2,55,38,Xấu,"RGB(255,126,0)",35,34,7.02,0.035,0.028,0.028,0.035,0.02,0.021,0.015,0.001,0.001,0.048,0.006,0,0.001,4.913,"25",3.6,7.795,9.708,0.638,0.115,1.2,0.18,5900,"0",11.2,14.5,631.1
"453",QLPH112020,QL11,105.46,9.55,0.41,2020/05/11,100,100,88.57,60.75,55,54,Trung bình,"RGB(255,255,0)",52,51,7.29,0.027,0.019,0.019,0.02,0.029,0.016,0.018,0.002,0.005,0.023,0.008,0,0.001,5.887,"25",4,9.277,11.637,2.775,0.538,0.563,0.488,7900,"0",9.57,23.61,4714.85
"454",QLPH112020,QL11,105.46,9.55,0.41,2020/05/25,100,68.13,77.55,69.55,55,37,Xấu,"RGB(255,126,0)",34,33,7.44,0.04,0.03,0.03,0.036,0.027,0.024,0.02,0.001,0.002,0.048,0.008,0,0.001,6.615,"25",3.618,8.327,12.43,1.819,0.2,1.2,0.175,8400,"0",8.72,5.2,6214
"455",QLPH112020,QL11,105.46,9.55,0.41,2020/06/09,100,68.13,61.15,51.09,55,21,Kém,"RGB(255,0,0)",22,22,7,0.05,0.041,0.036,0.043,0.038,0.03,0.019,0.01,0.004,0.06,0.008,0,0.001,6.4,"25",12.454,28.18,18.366,0.879,0.375,1.5,0.388,7600,"0",4.6,8.66,151
"456",QLPH112020,QL11,105.46,9.55,0.41,2020/06/23,100,100,90.37,50.69,55,46,Xấu,"RGB(255,126,0)",47,48,6.93,0.023,0.013,0.014,0.014,0.029,0.014,0.02,0,0.005,0.015,0.005,0,0.001,6.51,"25",15.26,36.015,21.001,0.613,0.538,0.378,0.413,5200,"0",3.1,0,2446.5
"457",QLPH122020,QL12,105.51,9.58,0.33,2020/02/11,100,100,90,57.33,55,52,Trung bình,"RGB(255,255,0)",51,51,7.12,0.02,0.012,0.01,0.011,0.028,0.012,0.016,0.005,0.002,0.008,0.008,0,0.001,5.463,"25",7.84,20.933,14.675,0.344,0.189,0.194,0.593,8400,"0",4.6,56.8,2446.5
"458",QLPH122020,QL12,105.51,9.58,0.33,2020/02/25,100,100,89.22,67.14,55,60,Trung bình,"RGB(255,255,0)",56,54,7.07,0.022,0.015,0.013,0.011,0.033,0.013,0.014,0.006,0.008,0.007,0.009,0,0.001,4.648,"25",8.6,19.733,13.074,0.14,0.8,0.187,0.18,9200,"0",1.52,5.94,125
