fid,Name,descriptio,id,cable_id,color,length,rfs,owners,url,geometry
121,Alaska United West,"<div class=""googft-info-window"">
<b>id:</b> alaska-united-west<br>
<b>cable_id:</b> 1348<br>
<b>description:</b> [{""landing_point_id"":5755,""name"":""Seward, Alaska, United States"",""latlon"":""60.112188,-149.443135""},{""landing_point_id"":6191,""name"":""Warrenton",alaska-united-west,1348,#31ba96,"2,485 km",June 2004,GCI,http://www.alaskaunited.com,"MULTILINESTRING ((-149.447671 60.110051, -148.049821 59.451717, -145.799822 58.524394, -139.499827 56.840739, -138.599828 55.843186, -136.349829 54.034038, -133.199831 50.740282, -127.799835 47.50229, -125.099837 46.42749, -123.92377 46.165221))"
122,ALBA-1,"<div class=""googft-info-window"">
<b>id:</b> alba-1<br>
<b>cable_id:</b> 1529<br>
<b>description:</b> [{""landing_point_id"":8352,""name"":""La Guaira, Venezuela"",""latlon"":""10.603154,-66.889622""},{""landing_point_id"":7688,""name"":""Ocho Rios, Jamaica"",""latlon"":""1",alba-1,1529,#e21f26,"1,860 km",August 2012,"Transbit,  Telecom Venezuela",,"MULTILINESTRING ((-75.828925 20.029344, -76.049872 19.529071, -76.724871 18.678647, -77.10324 18.398659), (-75.712372 19.96373, -75.599872 19.104405, -75.149873 18.251816, -71.099875 15.669513, -67.949878 12.615396, -67.049878 11.294709, -66.889624 10.603526))"
123,Aletar,"<div class=""googft-info-window"">
<b>id:</b> aletar<br>
<b>cable_id:</b> 1319<br>
<b>description:</b> [{""landing_point_id"":6044,""name"":""Alexandria, Egypt"",""latlon"":""31.191889,29.889787""},{""landing_point_id"":6030,""name"":""Tartous, Syria"",""latlon"":""34.891704",aletar,1319,#58ba48,787 km,April 1997,"Syrian Telecommunications Establishment,  Telecom Egypt,  Liban Telecom",,"MULTILINESTRING ((29.89351 31.191469, 30.150053 31.670513, 35.550049 34.775476, 35.897803 34.891705))"
124,Alonso de Ojeda,"<div class=""googft-info-window"">
<b>id:</b> alonso-de-ojeda<br>
<b>cable_id:</b> 1289<br>
<b>description:</b> [{""landing_point_id"":5776,""name"":""Baby Beach, Aruba"",""latlon"":""12.414139,-69.878683""},{""landing_point_id"":4275,""name"":""Willemstad, Curaçao"",""la",alonso-de-ojeda,1289,#96ae3c,128 km,1999,n.a.,,"MULTILINESTRING ((-69.878587 12.414618, -69.749876 12.285834, -69.074877 12.010882, -68.89265 12.090437))"
125,ALPAL-2,"<div class=""googft-info-window"">
<b>id:</b> alpal-2<br>
<b>cable_id:</b> 1234<br>
<b>description:</b> [{""landing_point_id"":5774,""name"":""El Djamila, Algeria"",""latlon"":""36.800224,2.901445""},{""landing_point_id"":5948,""name"":""Ses Covetes, Spain"",""latlon"":""39.",alpal-2,1234,#b65a28,312 km,July 2002,"Telecom Italia Sparkle,  Orange,  Algerie Telecom,  Telxius",,"MULTILINESTRING ((2.901439 36.800219, 2.700072 37.232354, 2.700072 38.651812, 2.970971 39.354842))"
127,Americas-I North,"<div class=""googft-info-window"">
<b>id:</b> americas-i-north<br>
<b>cable_id:</b> 1645<br>
<b>description:</b> [{""landing_point_id"":5758,""name"":""Magen's Bay, VI, United States"",""latlon"":""18.372987,-64.937084""},{""landing_point_id"":3813,""name"":""Vero Beach,",americas-i-north,1645,#9c4e9e,"2,012 km",September 1994,n.a.,,"MULTILINESTRING ((-64.937087 18.372989, -64.79988 18.891662, -65.02488 20.796306, -66.824878 23.711258, -69.299877 26.763587, -73.349874 28.754486, -76.049872 28.557045, -77.399871 28.359234, -79.649869 27.763589, -80.394254 27.638736))"
128,Amerigo Vespucci,"<div class=""googft-info-window"">
<b>id:</b> amerigo-vespucci<br>
<b>cable_id:</b> 1494<br>
<b>description:</b> [{""landing_point_id"":14635,""name"":""Kralendijk, Bonaire, Netherlands"",""latlon"":""12.150687,-68.276682""},{""landing_point_id"":4275,""name"":""Willemst",amerigo-vespucci,1494,#b69b31,85 km,1999,Antelecom,,"MULTILINESTRING ((-68.276635 12.151067, -68.89265 12.090437))"
129,Antillas 1,"<div class=""googft-info-window"">
<b>id:</b> antillas-1<br>
<b>cable_id:</b> 1227<br>
<b>description:</b> [{""landing_point_id"":5773,""name"":""Isla Verde, Puerto Rico, United States"",""latlon"":""18.441651,-66.016869""},{""landing_point_id"":5762,""name"":""Miramar,",antillas-1,1227,#3f61ad,650 km,June 1997,"AT&T,  Verizon,  Sprint,  Tata Communications,  Orange,  C&W Networks,  Telecom Italia Sparkle,  Embratel",,"MULTILINESTRING ((-69.983275 18.500282, -69.693626 18.144944, -69.299877 17.931002, -68.512377 17.931002, -68.287377 18.251816, -68.438159 18.621372, -68.174877 18.785188, -67.499878 19.104405, -67.049878 18.998068, -66.487379 18.785188, -66.082789 18.4536, -66.016871 18.441835))"
130,SEA Cable Exchange-1 (SEAX-1),"<div class=""googft-info-window"">
<b>id:</b> sea-cable-exchange-1-seax-1<br>
<b>cable_id:</b> 1887<br>
<b>description:</b> [{""landing_point_id"":5862,""name"":""Batam, Indonesia"",""latlon"":""1.134726,103.962506""},{""landing_point_id"":5902,""name"":""Mersing, Malays",sea-cable-exchange-1-seax-1,1887,#62a143,250 km,May 2018,Super Sea Cable Networks,http://www.seacablex.com,"MULTILINESTRING ((103.850684 2.295707, 104.328882 2.140111, 104.4 1.918229, 104.316187 1.468427, 104.17793 1.263407, 104.137818 1.263407), (103.946485 1.327258, 104.137818 1.263407), (103.962598 1.134725, 104.015626 1.223182, 104.137818 1.263407))"
131,Apollo,"<div class=""googft-info-window"">
<b>id:</b> apollo<br>
<b>cable_id:</b> 1213<br>
<b>description:</b> [{""landing_point_id"":4554,""name"":""Bude, United Kingdom"",""latlon"":""50.828110,-4.544401""},{""landing_point_id"":5837,""name"":""Lannion, France"",""latlon"":""48.73",apollo,1213,#d47028,"13,000 km",February 2003,Vodafone,http://www.vodafone.com/business/article-cs-apollo-submarine-cable-system,"MULTILINESTRING ((-72.872189 40.80058, -71.099875 40.215724, -68.399877 40.55848, -61.199882 40.729204, -50.39989 41.407726, -39.599898 43.727215, -23.399909 47.805412, -16.199914 49.294684, -10.799918 50.167261, -8.09992 50.454639, -5.399922 50.882454, -4.544405 50.828203), (-74.04709 40.12349, -71.099875 39.784829, -68.399877 39.524987, -61.199882 38.651812, -50.39989 38.299521, -39.599898 39.698323, -23.399909 44.051519, -16.199914 46.272183, -5.399922 49.147728, -4.499923 49.000334, -3.459884 48.730555))"
132,ARCOS,"<div class=""googft-info-window"">
<b>id:</b> arcos<br>
<b>cable_id:</b> 1078<br>
<b>description:</b> [{""landing_point_id"":5791,""name"":""Belize City, Belize"",""latlon"":""17.495546,-88.181617""},{""landing_point_id"":5920,""name"":""Bluefields, Nicaragua"",""latlon"":""",arcos,1078,#52499e,"8,600 km",December 2001,"C&W Networks,  CANTV,  Codetel,  Hondutel,  Belize Telemedia,  Enitel,  AT&T,  Alestra,  Verizon,  RACSA,  United Telecommunication Services (UTS),  Telecarrier,  Tricom USA,  Telecomunicaciones Ultramarinas de Puerto Rico,  Internexa,  Orbinet Overseas,",http://www.cwnetworks.com/,"MULTILINESTRING ((-74.195039 22.629892, -74.474873 22.677206, -74.587373 22.884654, -74.474873 23.298598, -74.474873 23.711258, -74.924873 24.225251, -75.525898 24.403329, -75.778888 24.410332, -76.499872 24.532658, -76.949871 24.941363, -77.340203 25.067215, -77.849871 25.14521, -79.19987 25.754704, -80.162222 25.933207), (-72.119406 21.851092, -72.449874 22.469444, -73.349874 22.884654, -73.799873 22.884654, -74.195039 22.629892), (-66.016871 18.441835, -66.487379 18.625351, -67.049878 18.678647, -67.387378 18.465364, -67.612378 17.823934, -68.399877 13.929304, -68.89265 12.090437, -69.074877 11.955858, -69.749876 12.175887, -70.128196 12.355004, -70.424876 12.175887, -70.204319 11.708781, -70.424876 11.73565, -70.649876 12.175887, -71.324875 12.615396, -71.999875 12.615396, -72.674874 12.175887, -72.899874 11.73565, -72.952706 11.483112, -73.349874 11.73565, -73.799873 11.73565, -74.699873 11.515266, -75.374872 11.073983, -75.505732 10.386803, -76.049872 10.410817, -79.08737 9.967915, -79.753531 9.437625, -80.099869 9.746237, -82.349867 9.967915, -83.03766 9.988594, -83.249867 11.294709, -83.474867 11.73565, -83.771546 11.991682, -83.474867 12.175887, -83.249867 12.615396, -83.249867 13.492128, -83.396449 14.01611, -83.024867 14.365654, -82.912367 15.018579, -83.249867 15.452761, -83.474867 15.452761, -83.77682 15.261315), (-72.119406 21.851092, -71.999875 21.635297, -70.762376 20.375041, -70.691184 19.799436, -70.199876 19.952623, -69.299877 19.740987, -68.624877 19.104405, -68.512377 18.891662, -68.438159 18.621372, -68.174877 18.891662, -67.499878 19.210675, -67.049878 19.104405, -66.487379 18.838433, -66.016871 18.441835), (-83.77682 15.261315, -83.699866 15.669513, -84.149866 16.102326, -85.049866 16.102326, -85.954699 15.915245, -86.399865 16.102326, -86.849864 16.102326, -87.946159 15.844986, -88.199863 15.886036, -88.597135 15.727238, -88.424863 16.102326, -88.087363 16.534196, -87.974863 16.965103, -88.182188 17.496385, -87.749864 17.823934, -87.524864 18.251816, -87.299864 19.529071, -87.299864 19.952623, -87.463536 20.212736, -87.187364 20.058335, -86.849864 20.163975, -86.624864 20.375041, -86.624864 20.796306, -86.767589 21.095725, -86.512364 21.268826, -86.399865 21.635297, -84.824866 23.298598, -83.249867 24.122617, -80.999868 24.327803, -80.324869 24.737178, -79.987369 25.348717, -80.162222 25.933207))"
133,Asia-America Gateway (AAG) Cable System,"<div class=""googft-info-window"">
<b>id:</b> asia-america-gateway-aag-cable-system<br>
<b>cable_id:</b> 1507<br>
<b>description:</b> [{""landing_point_id"":5940,""name"":""Changi North, Singapore"",""latlon"":""1.389047,103.987017""},{""landing_point_id"":5754,""name""",asia-america-gateway-aag-cable-system,1507,#6a489d,"20,000 km",November 2009,"Telekom Malaysia,  AT&T,  Starhub,  PLDT,  CAT Telecom Public Company Limited,  Airtel (Bharti),  Telstra,  Telkom Indonesia,  BT,  Eastern Telecom,  PT Indonesia Satellite Corp.,  Spark New Zealand,  Viettel Corporation,  Saigon Postel Corporation,  Vie",http://www.asia-america-gateway.com,"MULTILINESTRING ((-179.999798 19.104405, -172.799803 20.796306, -163.79981 20.796306, -158.849813 21.111486, -158.399814 21.478351, -158.24205 21.548762, -158.287314 21.321235, -158.174814 21.029836, -157.949814 21.029836, -157.499814 21.16978, -156.599815 22.052986, -152.999817 24.941363, -147.599821 27.364668, -138.599828 28.951555, -127.799835 32.433313, -122.399839 34.867831, -120.662542 35.285572), (100.930569 13.174369, 100.800003 12.834869, 100.912503 12.175887, 101.025003 11.294709, 101.700002 9.524411, 103.275001 8.190543, 105.3 6.628747, 107.999998 5.957819), (179.999922 19.104405, 160.199961 16.534196, 151.199967 15.235782, 147.14997 14.365654, 146.249971 14.147584, 145.349971 13.601498, 144.899972 13.382708, 144.786495 13.446448, 143.999972 13.492128, 143.099973 13.710818, 138.599976 14.801154, 131.399981 16.534196, 125.999985 18.251816, 121.049988 19.104405, 120.374989 18.678647, 120.149989 16.965103, 120.389735 16.582591, 119.924989 16.965103, 116.999991 18.251816, 115.312493 19.529071, 114.524993 20.375041, 113.793744 21.635297, 113.949115 22.271492, 113.737494 21.635297, 113.512494 20.796306, 113.399994 18.251816, 111.149995 12.615396, 110.699996 9.967915, 109.349997 7.298763, 107.999998 5.957819, 106.649999 5.061987, 105.3 4.164913, 103.850684 2.295707, 104.4 2.255504, 104.773071 1.961478, 104.681152 1.468427, 104.287891 1.215616, 104.154395 1.197797, 103.987012 1.389447), (109.349997 7.298763, 114.299993 5.28607, 114.885637 4.92676), (107.079198 10.342134, 107.774998 9.746237, 108.674997 9.524411, 110.249996 9.746237, 110.699996 9.967915))"
142,Bahamas Domestic Submarine Network (BDSNi),"<div class=""googft-info-window"">
<b>id:</b> bahamas-domestic-submarine-network-bdsni<br>
<b>cable_id:</b> 1510<br>
<b>description:</b> [{""landing_point_id"":5784,""name"":""Cat Island, Bahamas"",""latlon"":""24.403330,-75.525898""},{""landing_point_id"":10360,""name",bahamas-domestic-submarine-network-bdsni,1510,#2baf5e,"2,817 km",2006,"Bahamas Telecommunications Company,  Teleco",http://www.btcbahamas.com,"MULTILINESTRING ((-73.682979 20.950513, -73.799873 21.216398, -75.149873 21.844294, -75.733368 22.183262), (-74.966181 23.098343, -74.840498 23.652233), (-74.525703 24.052632, -74.966181 23.098343), (-74.525703 24.052632, -74.924873 24.327803, -75.525898 24.403329), (-73.064132 22.401746, -73.349874 22.78097, -73.799873 22.78097, -74.195039 22.629892), (-73.682979 20.950513, -73.574874 21.425998, -73.349874 22.052986, -73.064132 22.401746), (-73.682979 20.950513, -73.845918 20.144769, -73.912373 19.952623, -73.687374 19.104405, -72.834347 18.611932, -72.510275 18.611932, -72.343136 18.542877))"
134,Atlantic Crossing-1 (AC-1),"<div class=""googft-info-window"">
<b>id:</b> atlantic-crossing-1-ac-1<br>
<b>cable_id:</b> 1143<br>
<b>description:</b> [{""landing_point_id"":3080,""name"":""Beverwijk, Netherlands"",""latlon"":""52.486313,4.656901""},{""landing_point_id"":4512,""name"":""Brookhaven, N",atlantic-crossing-1-ac-1,1143,#51439b,"14,301 km",May 1998,CenturyLink,http://www.centurylink.com/wholesale/,"MULTILINESTRING ((-72.912276 40.773518, -71.099875 40.643897, -68.399877 41.238752, -61.199882 42.412355, -50.39989 43.889588, -39.599898 46.890763, -23.399909 52.417901, -16.199914 55.589707, -8.999919 59.222224, -5.399922 59.793059, -1.799924 59.565883, 1.800073 58.641678, 5.40007 56.469711, 7.650069 55.077801, 8.100068 54.948789, 8.383369 54.898421), (-5.698457 50.078697, -6.299921 50.167261, -8.09992 50.167261, -10.799918 49.878145, -16.199914 48.704235, -23.399909 46.582355, -39.599898 42.412355, -50.39989 40.38732, -61.199882 40.043692, -68.399877 40.215724, -71.099875 40.043692, -72.912276 40.773518), (8.383369 54.898421, 8.100068 54.819362, 7.200069 54.559259, 5.40007 53.768911, 4.500071 53.233595, 4.275071 52.827663, 4.387571 52.623261, 4.656809 52.486402, 4.275071 52.486461, 3.600072 52.356869, 3.150072 52.142593, 2.475072 51.586834, 1.461475 50.981022, 0.900074 50.526212, 0.000074 50.167261, -2.249924 50.02292, -3.599923 49.878145, -4.499923 49.805594, -5.399922 49.878145, -5.698457 50.078697))"
135,Atlas Offshore,"<div class=""googft-info-window"">
<b>id:</b> atlas-offshore<br>
<b>cable_id:</b> 1512<br>
<b>description:</b> [{""landing_point_id"":5910,""name"":""Asilah, Morocco"",""latlon"":""35.470781,-6.035757""},{""landing_point_id"":3210,""name"":""Marseille, France"",""latlon"":""",atlas-offshore,1512,#5bba47,"1,634 km",July 2007,Maroc Telecom,https://www.iam.ma,"MULTILINESTRING ((-6.035761 35.470618, -5.849922 35.785662, -5.624922 35.831279, -4.499923 36.149867, -2.249924 36.240655, 2.250073 38.12273, 4.050071 39.002379, 4.950071 40.043692, 5.62507 41.744359, 5.372531 43.293627))"
136,Australia-Japan Cable (AJC),"<div class=""googft-info-window"">
<b>id:</b> australia-japan-cable-ajc<br>
<b>cable_id:</b> 1102<br>
<b>description:</b> [{""landing_point_id"":5887,""name"":""Maruyama, Japan"",""latlon"":""35.037517,139.816956""},{""landing_point_id"":5778,""name"":""Oxford Falls, Aus",australia-japan-cable-ajc,1102,#47c0b3,"12,700 km",December 2001,"Softbank Telecom,  Telstra,  Verizon,  AT&T",http://www.ajcable.com,"MULTILINESTRING ((136.874001 34.336831, 137.699977 34.032922, 138.599976 34.219178, 139.816967 35.037519), (151.228483 -33.882042, 151.245084 -33.737123, 152.099966 -33.367637, 154.799965 -31.851466), (148.499969 13.492128, 147.14997 13.929304, 146.249971 13.929304, 145.349971 13.710818, 144.809542 13.549098, 144.800362 13.513683, 145.349971 13.054151, 146.249971 12.615396, 147.14997 12.615396, 148.499969 13.054151), (136.874001 34.336831, 137.699977 33.377806, 138.599976 32.812319, 140.849974 31.670513, 143.549973 30.901396), (139.816967 35.037519, 139.837475 34.405023, 140.287475 33.93964, 142.199973 32.812319, 143.549973 30.901396, 147.59997 23.298598, 148.949969 16.534196, 148.499969 13.492128, 148.499969 13.054151, 151.199967 9.967915, 153.449966 8.190543, 156.149964 4.164913, 157.499963 -0.331409, 158.399962 -3.029996, 159.974961 -4.825692, 161.999959 -6.616651, 162.899959 -8.401139, 163.349959 -10.177457, 162.899959 -13.698987, 160.199961 -18.88014, 158.399962 -25.540896, 157.049963 -28.74381, 154.799965 -31.851466, 152.099966 -33.555344, 151.228483 -33.882042))"
137,Australia-Papua New Guinea-2 (APNG-2),"<div class=""googft-info-window"">
<b>id:</b> australia-papua-new-guinea-2-apng-2<br>
<b>cable_id:</b> 1527<br>
<b>description:</b> [{""landing_point_id"":8350,""name"":""Ela Beach, Papua New Guinea"",""latlon"":""-9.480235,147.156406""},{""landing_point_id"":3030,""na",australia-papua-new-guinea-2-apng-2,1527,#67bd46,"1,800 km",2006,"Telikom Papua New Guinea,  Telstra",http://www.telikompng.com.pg,"MULTILINESTRING ((147.117548 -9.43409, 147.14997 -10.177457, 148.499969 -12.38384, 152.099966 -15.441024, 153.899965 -18.88014, 154.799965 -25.540896, 154.799965 -28.74381, 153.899965 -31.851466, 152.099966 -33.085315, 151.206998 -33.869555))"
138,Australia-Singapore Cable (ASC),"<div class=""googft-info-window"">
<b>id:</b> australia-singapore-cable-asc<br>
<b>cable_id:</b> 1683<br>
<b>description:</b> [{""landing_point_id"":14605,""name"":""Anyer, Indonesia"",""latlon"":""-6.073694,105.883916""},{""landing_point_id"":17023,""name"":""Flying Fis",australia-singapore-cable-asc,1683,#b6b8ba,"4,600 km",July 2018,Vocus Communications,https://www.australiasingaporecable.com,"MULTILINESTRING ((105.974999 -10.39884, 105.862499 -10.39884, 105.69707 -10.437354), (105.749999 -5.945707, 105.88391 -6.073698), (103.946485 1.327258, 103.781251 1.018534, 103.781251 0.793563, 104.175 0.513332, 104.85 0.400836, 105.3 0.118588, 105.974999 -0.781387, 106.874999 -2.130918, 106.987498 -3.029996, 106.874999 -4.601454, 106.537499 -5.161911, 106.312499 -5.497951, 105.749999 -5.945707, 105.3 -6.169451, 105.075 -6.616651, 105.3 -7.509811, 105.974999 -10.39884, 106.199999 -11.943945, 112.049995 -27.153831, 113.399994 -30.309953, 113.849994 -30.890947, 115.857316 -31.953439))"
139,Azores Fiber Optic System (AFOS),"<div class=""googft-info-window"">
<b>id:</b> azores-fiber-optic-system-afos<br>
<b>cable_id:</b> 1801<br>
<b>description:</b> [{""landing_point_id"":14836,""name"":""Angra do Heroismo, Portugal"",""latlon"":""38.658524,-27.215825""},{""landing_point_id"":14659,""name""",azores-fiber-optic-system-afos,1801,#524ea1,"1,100 km",July 1998,Portugal Telecom,,"MULTILINESTRING ((-27.963383 39.011409, -28.124906 38.827311, -28.349906 38.827311, -28.349906 38.739615, -28.213138 38.684293, -28.462406 38.651812, -28.647513 38.525405, -28.461234 38.432673, -28.349906 38.299521, -25.296929 36.902509, -25.141217 36.957154, -25.072271 36.875954, -24.918609 36.956842, -24.974908 37.232354, -25.537408 37.589787, -25.668706 37.739603, -25.874907 37.589787, -26.774907 37.94551, -26.999907 38.475881, -27.215776 38.658904, -27.449906 38.651812, -27.674906 38.651812, -27.963383 39.011409))"
140,Bahamas 2,"<div class=""googft-info-window"">
<b>id:</b> bahamas-2<br>
<b>cable_id:</b> 1069<br>
<b>description:</b> [{""landing_point_id"":5783,""name"":""Eight-Mile Rock, Bahamas"",""latlon"":""26.539621,-78.802861""},{""landing_point_id"":4230,""name"":""Nassau, Bahamas"",""latlon",bahamas-2,1069,#86469b,470 km,June 1997,"AT&T,  Telefonica,  Verizon",,"MULTILINESTRING ((-80.394254 27.638736, -79.649869 27.364668, -78.802018 26.539626, -78.52487 26.159308, -77.737371 25.348717, -77.340203 25.067215))"
153,BCS North - Phase 2,"<div class=""googft-info-window"">
<b>id:</b> bcs-north---phase-2<br>
<b>cable_id:</b> 1610<br>
<b>description:</b> [{""landing_point_id"":9103,""name"":""Helsingfors, Finland"",""latlon"":""60.171075,24.932490""},{""landing_point_id"":4552,""name"":""Kotka, Finland"",""la",bcs-north---phase-2,1610,#b2d336,280.4 km,2000,Telia Carrier,,"MULTILINESTRING ((26.883649 60.501141, 27.000055 60.354289, 27.168805 60.130943, 27.450055 59.962432, 28.125054 59.849612, 28.499956 59.799986), (26.883649 60.501141, 26.775055 60.354289, 26.100056 60.130943, 25.200056 60.130943, 24.932478 60.171163))"
141,Bahamas Domestic Submarine Network (BDSNi),"<div class=""googft-info-window"">
<b>id:</b> bahamas-domestic-submarine-network-bdsni<br>
<b>cable_id:</b> 1510<br>
<b>description:</b> [{""landing_point_id"":5784,""name"":""Cat Island, Bahamas"",""latlon"":""24.403330,-75.525898""},{""landing_point_id"":10360,""name",bahamas-domestic-submarine-network-bdsni,1510,#2baf5e,"2,817 km",2006,"Bahamas Telecommunications Company,  Teleco",http://www.btcbahamas.com,"MULTILINESTRING ((-75.780146 23.516552, -75.599872 23.711258, -75.149873 23.814221, -74.840498 23.652233), (-74.195039 22.629892, -74.362373 22.677206, -74.474873 22.884654, -74.362373 23.298598, -74.362373 23.711258, -74.525703 24.052632), (-77.399529 26.025297, -77.962371 26.159308, -78.736741 26.516996), (-77.340203 25.067215, -77.399871 25.348717, -78.18737 26.159308, -78.736741 26.516996), (-77.340203 25.067215, -77.399871 24.941363, -77.844603 24.689717), (-76.240643 25.196207, -76.240643 25.294429, -76.83117 25.712038, -77.287371 25.754704, -77.399529 26.025297), (-76.240643 25.196207, -76.949871 25.043329, -77.340203 25.067215), (-75.780146 23.516552, -75.712372 23.711258, -75.937372 24.532658, -75.937372 24.941363, -76.240643 25.196207), (-75.525898 24.403329, -75.824872 24.532658, -75.824872 24.941363, -76.240643 25.196207), (-75.733368 22.183262, -75.599872 22.469444, -75.599872 23.298598, -75.149873 23.711258, -74.840498 23.652233))"
157,Botnia,"<div class=""googft-info-window"">
<b>id:</b> botnia<br>
<b>cable_id:</b> 1271<br>
<b>description:</b> [{""landing_point_id"":6004,""name"":""Umeå, Sweden"",""latlon"":""63.825870,20.262948""},{""landing_point_id"":5052,""name"":""Vaasa, Finland"",""latlon"":""63.095194,21.",botnia,1271,#dcaa27,93 km,1994,Telia Carrier,,"MULTILINESTRING ((21.616368 63.095388, 21.375059 63.096692, 21.150059 63.096692, 20.70006 63.274313, 20.47506 63.526173, 20.394298 63.702516, 20.263048 63.825953))"
143,Bahamas Internet Cable System (BICS),"<div class=""googft-info-window"">
<b>id:</b> bahamas-internet-cable-system-bics<br>
<b>cable_id:</b> 1232<br>
<b>description:</b> [{""landing_point_id"":3563,""name"":""Boca Raton, Florida, United States"",""latlon"":""26.350327,-80.088945""},{""landing_point_id"":57",bahamas-internet-cable-system-bics,1232,#21a0b9,"1,100 km",July 2001,Caribbean Crossings,http://www.caribbeancrossings.com,"MULTILINESTRING ((-78.736741 26.516996, -79.19987 26.361086, -79.649869 26.361086, -80.088932 26.350586), (-76.787664 25.407833, -77.174871 25.551883, -77.399871 25.754704, -77.399529 26.025297, -77.399871 26.159308, -77.174871 26.260241, -77.174871 26.562513, -77.399871 26.86399, -77.821941 26.912504, -78.245873 26.616744, -78.736741 26.516996, -79.19987 26.461844, -79.649869 26.461844, -80.067691 26.378323), (-78.736741 26.516996, -78.29987 26.159308, -77.512371 25.348717, -77.452996 25.068453, -77.399871 25.348717, -77.174871 25.450343, -76.787664 25.407833))"
144,Balalink,"<div class=""googft-info-window"">
<b>id:</b> balalink<br>
<b>cable_id:</b> 1696<br>
<b>description:</b> [{""landing_point_id"":4723,""name"":""Palma, Spain"",""latlon"":""39.552322,2.605254""},{""landing_point_id"":3066,""name"":""Valencia, Spain"",""latlon"":""39.468314,-0",balalink,1696,#3b4fa2,274 km,October 2001,IslaLink,http://www.islalink.es,"MULTILINESTRING ((-0.376976 39.459648, 0.450074 39.351218, 2.250073 39.351218, 2.605248 39.552326))"
145,Baltica,"<div class=""googft-info-window"">
<b>id:</b> baltica<br>
<b>cable_id:</b> 1199<br>
<b>description:</b> [{""landing_point_id"":5820,""name"":""Gedser, Denmark"",""latlon"":""54.576351,11.928968""},{""landing_point_id"":5933,""name"":""Kolobrzeg, Poland"",""latlon"":""54.1723",baltica,1199,#60469c,437 km,March 1997,"Telia Carrier,  Orange Polska,  TDC,  Telenor,  Slovak Telekom,  Ukrtelecom",,"MULTILINESTRING ((11.940007 54.577234, 12.600065 54.624441, 13.500065 54.884127, 14.850064 54.948789, 14.992153 55.031149), (13.828287 55.431333, 13.950064 55.334581, 14.400064 55.077801, 14.850064 55.013347, 14.992153 55.031149, 15.075064 54.884127, 15.412563 54.559259, 15.575063 54.172632))"
146,BARSAV,"<div class=""googft-info-window"">
<b>id:</b> barsav<br>
<b>cable_id:</b> 1053<br>
<b>description:</b> [{""landing_point_id"":3036,""name"":""Barcelona, Spain"",""latlon"":""41.385341,2.168536""},{""landing_point_id"":5880,""name"":""Savona, Italy"",""latlon"":""44.305543,8.",barsav,1053,#4f449c,760 km,1996,"Telefonica,  Telecom Italia Sparkle",,"MULTILINESTRING ((8.48376 44.30575, 8.437568 43.889588, 7.200069 42.908732, 6.52507 42.32924, 5.40007 41.828243, 2.700072 41.407726, 2.168725 41.385639))"
147,Bass Strait-1,"<div class=""googft-info-window"">
<b>id:</b> bass-strait-1<br>
<b>cable_id:</b> 1472<br>
<b>description:</b> [{""landing_point_id"":7813,""name"":""Boat Harbour, Tasmania, Australia"",""latlon"":""-40.950874,145.623790""},{""landing_point_id"":10799,""name"":""Sandy Poi",bass-strait-1,1472,#67449b,241 km,1995,Telstra,,"MULTILINESTRING ((146.119697 -38.819878, 146.024971 -39.167574, 145.799971 -40.549228, 145.623799 -40.950499))"
148,Basslink,"<div class=""googft-info-window"">
<b>id:</b> basslink<br>
<b>cable_id:</b> 1742<br>
<b>description:</b> [{""landing_point_id"":10796,""name"":""Four Mile Bluff, Australia"",""latlon"":""-41.033272,146.850156""},{""landing_point_id"":10797,""name"":""McGaurans Beach, Aus",basslink,1742,#9eca3c,298 km,November 2005,Basslink Telecoms,,"MULTILINESTRING ((147.071259 -38.443405, 147.03747 -38.817824, 146.92497 -40.549228, 146.850166 -41.033056))"
149,Batam Singapore Cable System (BSCS),"<div class=""googft-info-window"">
<b>id:</b> batam-singapore-cable-system-bscs<br>
<b>cable_id:</b> 1785<br>
<b>description:</b> [{""landing_point_id"":5862,""name"":""Batam, Indonesia"",""latlon"":""1.134726,103.962506""},{""landing_point_id"":3029,""name"":""Singapore",batam-singapore-cable-system-bscs,1785,#ad3882,73 km,2009,Telkom Indonesia,http://www.telin.sg,"MULTILINESTRING ((103.853028 1.294064, 103.962598 1.134725))"
150,Sweden-Latvia,"<div class=""googft-info-window"">
<b>id:</b> sweden-latvia<br>
<b>cable_id:</b> 1364<br>
<b>description:</b> [{""landing_point_id"":7412,""name"":""Farosund, Sweden"",""latlon"":""57.862983,19.055332""},{""landing_point_id"":3063,""name"":""Stockholm, Sweden"",""latlon"":""",sweden-latvia,1364,#43ba86,391 km,January 2005,Latvia State Radio and Television Centre,http://www.lvrtc.lv,"MULTILINESTRING ((21.570078 57.389722, 21.150059 57.390459, 19.350061 57.752422, 19.041858 57.86298, 18.900061 58.051316, 18.562561 58.641678, 18.562561 59.106895, 18.337561 59.279743, 18.062757 59.332308))"
